AreaCode,Year,LitresPerCapita,RecordStatus
DZA,2014,0.5630000000000001,Total
DZA,2014,0.52,Recorded
DZA,2014,0.043,Unrecorded
DZA,2015,0.5850000000000001,Total
DZA,2015,0.54,Recorded
DZA,2015,0.045,Unrecorded
DZA,2016,0.6060000000000001,Total
DZA,2016,0.56,Recorded
DZA,2016,0.046,Unrecorded
DZA,2017,0.617,Total
DZA,2017,0.57,Recorded
DZA,2017,0.047,Unrecorded
DZA,2018,0.616,Total
DZA,2018,0.57,Recorded
DZA,2018,0.046,Unrecorded
DZA,2019,0.616,Total
DZA,2019,0.57,Recorded
DZA,2019,0.046,Unrecorded
DZA,2020,0.541,Total
DZA,2020,0.5,Recorded
DZA,2020,0.041,Unrecorded
AND,2000,13.049999999999999,Total
AND,2000,12.68,Recorded
AND,2000,0.37,Unrecorded
AND,2001,13.049999999999999,Total
AND,2001,12.68,Recorded
AND,2001,0.37,Unrecorded
AND,2002,12.87,Total
AND,2002,12.5,Recorded
AND,2002,0.37,Unrecorded
AND,2003,12.600000000000001,Total
AND,2003,12.22,Recorded
AND,2003,0.38,Unrecorded
AND,2004,12.67,Total
AND,2004,12.29,Recorded
AND,2004,0.38,Unrecorded
AND,2005,12.74,Total
AND,2005,12.36,Recorded
AND,2005,0.38,Unrecorded
AND,2006,12.67,Total
AND,2006,12.29,Recorded
AND,2006,0.38,Unrecorded
AND,2007,12.34,Total
AND,2007,11.95,Recorded
AND,2007,0.39,Unrecorded
AND,2008,11.98,Total
AND,2008,11.57,Recorded
AND,2008,0.41,Unrecorded
AND,2009,11.5,Total
AND,2009,11.08,Recorded
AND,2009,0.42,Unrecorded
AND,2010,11.2,Total
AND,2010,10.77,Recorded
AND,2010,0.43,Unrecorded
AND,2011,10.879999999999999,Total
AND,2011,10.44,Recorded
AND,2011,0.44,Unrecorded
AND,2012,10.729999999999999,Total
AND,2012,10.28,Recorded
AND,2012,0.45,Unrecorded
AND,2013,10.53,Total
AND,2013,10.08,Recorded
AND,2013,0.45,Unrecorded
AND,2014,10.79,Total
AND,2014,10.35,Recorded
AND,2014,0.44,Unrecorded
AND,2015,11.18,Total
AND,2015,10.75,Recorded
AND,2015,0.43,Unrecorded
AND,2016,11.64,Total
AND,2016,11.22,Recorded
AND,2016,0.42,Unrecorded
AND,2017,11.54,Total
AND,2017,11.12,Recorded
AND,2017,0.42,Unrecorded
AND,2018,11.48,Total
AND,2018,11.06,Recorded
AND,2018,0.42,Unrecorded
AND,2019,11.48,Total
AND,2019,11.06,Recorded
AND,2019,0.42,Unrecorded
AND,2020,10.07,Total
AND,2020,9.6,Recorded
AND,2020,0.47,Unrecorded
AGO,2000,5.19,Total
AGO,2000,4.24,Recorded
AGO,2000,0.95,Unrecorded
AGO,2001,5.19,Total
AGO,2001,4.24,Recorded
AGO,2001,0.95,Unrecorded
AGO,2002,5.43,Total
AGO,2002,4.47,Recorded
AGO,2002,0.96,Unrecorded
AGO,2003,5.58,Total
AGO,2003,4.62,Recorded
AGO,2003,0.96,Unrecorded
AGO,2004,6.08,Total
AGO,2004,5.12,Recorded
AGO,2004,0.96,Unrecorded
AGO,2005,6.68,Total
AGO,2005,5.72,Recorded
AGO,2005,0.96,Unrecorded
AGO,2006,7.27,Total
AGO,2006,6.31,Recorded
AGO,2006,0.96,Unrecorded
AGO,2007,7.61,Total
AGO,2007,6.66,Recorded
AGO,2007,0.95,Unrecorded
AGO,2008,7.789999999999999,Total
AGO,2008,6.85,Recorded
AGO,2008,0.94,Unrecorded
AGO,2009,8.11,Total
AGO,2009,7.18,Recorded
AGO,2009,0.93,Unrecorded
AGO,2010,8.32,Total
AGO,2010,7.4,Recorded
AGO,2010,0.92,Unrecorded
AGO,2011,8.59,Total
AGO,2011,7.68,Recorded
AGO,2011,0.91,Unrecorded
AGO,2012,8.62,Total
AGO,2012,7.72,Recorded
AGO,2012,0.9,Unrecorded
AGO,2013,8.75,Total
AGO,2013,7.86,Recorded
AGO,2013,0.89,Unrecorded
AGO,2014,8.32,Total
AGO,2014,7.43,Recorded
AGO,2014,0.89,Unrecorded
AGO,2015,7.760000000000001,Total
AGO,2015,6.86,Recorded
AGO,2015,0.9,Unrecorded
AGO,2016,7.01,Total
AGO,2016,6.1,Recorded
AGO,2016,0.91,Unrecorded
AGO,2017,6.67,Total
AGO,2017,5.76,Recorded
AGO,2017,0.91,Unrecorded
AGO,2018,6.17,Total
AGO,2018,5.28,Recorded
AGO,2018,0.89,Unrecorded
AGO,2019,6.17,Total
AGO,2019,5.28,Recorded
AGO,2019,0.89,Unrecorded
AGO,2020,4.13,Total
AGO,2020,3.35,Recorded
AGO,2020,0.78,Unrecorded
ATG,2000,7.24,Total
ATG,2000,6.72,Recorded
ATG,2000,0.52,Unrecorded
ATG,2001,7.24,Total
ATG,2001,6.72,Recorded
ATG,2001,0.52,Unrecorded
ATG,2002,7.119999999999999,Total
ATG,2002,6.6,Recorded
ATG,2002,0.52,Unrecorded
ATG,2003,6.98,Total
ATG,2003,6.46,Recorded
ATG,2003,0.52,Unrecorded
ATG,2004,7.43,Total
ATG,2004,6.92,Recorded
ATG,2004,0.51,Unrecorded
ATG,2005,8.14,Total
ATG,2005,7.65,Recorded
ATG,2005,0.49,Unrecorded
ATG,2006,8.8,Total
