AreaCode,Year,Litres
BRA,2012,8.4
BRA,2013,8.3
BRA,2014,9.2
BRA,2015,9.2
BRA,2016,9.7
BRA,2017,9.2
BRA,2018,9.4
BRA,2019,9.8
BRA,2020,9.8
BGR,1963,7.3
BGR,1964,6.5
BGR,1965,7.3
BGR,1966,7.3
BGR,1967,7.8
BGR,1968,9.0
BGR,1969,8.7
BGR,1970,8.4
BGR,1971,8.9
BGR,1972,9.2
BGR,1973,10.1
BGR,1974,10.2
BGR,1975,10.2
BGR,1976,10.9
BGR,1977,10.5
BGR,1978,11.3
BGR,1979,10.9
BGR,1980,10.8
BGR,1981,11.3
BGR,1982,11.2
BGR,1983,11.0
BGR,1984,11.4
BGR,1985,10.9
BGR,1986,11.5
BGR,1987,10.9
BGR,1988,11.2
BGR,1989,11.4
BGR,1990,11.5
BGR,1991,9.5
BGR,1992,10.2
BGR,1993,9.9
BGR,1994,9.7
BGR,1995,9.5
BGR,1996,9.2
BGR,1997,8.1
BGR,1998,7.9
BGR,1999,7.7
BGR,2000,10.3
BGR,2001,11.1
BGR,2002,10.8
BGR,2003,10.9
BGR,2004,10.7
BGR,2005,10.2
BGR,2006,10.2
BGR,2007,10.7
BGR,2008,10.7
BGR,2009,10.5
BGR,2010,10.0
BGR,2011,10.2
BGR,2012,10.4
BGR,2013,10.5
BGR,2014,10.6
BGR,2015,10.9
BGR,2016,11.1
BGR,2017,11.3
BGR,2018,11.4
BGR,2019,11.4
BGR,2020,11.1
CAN,1960,7.0
CAN,1961,7.1
CAN,1962,7.3
CAN,1963,7.5
CAN,1964,7.6
CAN,1965,7.8
CAN,1966,8.1
CAN,1967,8.3
CAN,1968,8.3
CAN,1969,8.5
CAN,1970,8.8
CAN,1971,9.4
CAN,1972,9.9
CAN,1973,10.4
CAN,1974,10.8
CAN,1975,10.9
CAN,1976,10.9
CAN,1977,10.9
CAN,1978,10.9
CAN,1979,10.9
CAN,1980,10.7
CAN,1981,10.8
CAN,1982,10.5
CAN,1983,10.2
CAN,1984,9.9
CAN,1985,9.8
CAN,1986,9.6
CAN,1987,9.6
CAN,1988,9.4
CAN,1989,8.8
CAN,1990,8.5
CAN,1991,8.2
CAN,1992,7.8
CAN,1993,7.5
CAN,1994,7.4
CAN,1995,7.4
CAN,1996,7.4
CAN,1997,7.2
CAN,1998,7.3
CAN,1999,7.5
CAN,2000,7.6
CAN,2001,7.6
CAN,2002,7.7
CAN,2003,7.7
CAN,2004,7.8
CAN,2005,8.0
CAN,2006,8.2
CAN,2007,8.4
CAN,2008,8.4
CAN,2009,8.4
CAN,2010,8.4
CAN,2011,8.2
CAN,2012,8.3
CAN,2013,8.2
CAN,2014,8.0
CAN,2015,8.0
CAN,2016,8.1
CAN,2017,8.2
CAN,2018,8.2
CAN,2019,8.0
CAN,2020,8.1
CAN,2021,8.3
CAN,2022,8.1
CHL,1963,11.1
CHL,1964,11.6
CHL,1965,9.7
CHL,1966,11.3
CHL,1967,11.4
CHL,1968,11.6
