AreaCode,Year,BeverageType,Litres
AFG,1999,All,0.0
AFG,1999,Beer,0.0
AFG,1999,Wine,0.0
AFG,1999,Spirits,0.0
AFG,1999,Others,0.0
AFG,2000,All,0.002
AFG,2000,Beer,0.0008
AFG,2000,Wine,0.0
AFG,2000,Spirits,0.001
AFG,2000,Others,0.0001
AFG,2001,All,0.002
AFG,2001,Beer,0.0008
AFG,2001,Wine,0.0
AFG,2001,Spirits,0.001
AFG,2001,Others,0.0001
AFG,2002,All,0.006
AFG,2002,Beer,0.002
AFG,2002,Wine,0.0003
AFG,2002,Spirits,0.003
AFG,2002,Others,0.0001
AFG,2003,All,0.013
AFG,2003,Beer,0.008
AFG,2003,Wine,0.0006
AFG,2003,Spirits,0.004
AFG,2003,Others,0.0001
AFG,2004,All,0.016
AFG,2004,Beer,0.011
AFG,2004,Wine,0.0009
AFG,2004,Spirits,0.005
AFG,2004,Others,0.0001
AFG,2005,All,0.021
AFG,2005,Beer,0.013
AFG,2005,Wine,0.003
AFG,2005,Spirits,0.005
AFG,2005,Others,0.0001
AFG,2006,All,0.02
AFG,2006,Beer,0.009
AFG,2006,Wine,0.006
AFG,2006,Spirits,0.005
AFG,2006,Others,0.0001
AFG,2007,All,0.024
AFG,2007,Beer,0.009
AFG,2007,Wine,0.006
AFG,2007,Spirits,0.009
AFG,2007,Others,0.0001
AFG,2008,All,0.02
AFG,2008,Beer,0.009
AFG,2008,Wine,0.004
AFG,2008,Spirits,0.007
AFG,2008,Others,0.0001
AFG,2009,All,0.018
AFG,2009,Beer,0.01
AFG,2009,Wine,0.002
AFG,2009,Spirits,0.007
AFG,2009,Others,0.0001
AFG,2010,All,0.01
AFG,2010,Beer,0.007
AFG,2010,Wine,0.002
AFG,2010,Spirits,0.001
AFG,2010,Others,0.0001
AFG,2011,All,0.006
AFG,2011,Beer,0.004
AFG,2011,Wine,0.001
AFG,2011,Spirits,0.0009
AFG,2011,Others,0.0001
AFG,2012,All,0.003
AFG,2012,Beer,0.001
AFG,2012,Wine,0.0007
AFG,2012,Spirits,0.0009
AFG,2012,Others,0.0001
AFG,2013,All,0.003
AFG,2013,Beer,0.001
AFG,2013,Wine,0.0007
AFG,2013,Spirits,0.0008
AFG,2013,Others,0.0001
AFG,2014,All,0.003
AFG,2014,Beer,0.001
AFG,2014,Wine,0.0007
AFG,2014,Spirits,0.0009
AFG,2014,Others,0.0001
AFG,2015,All,0.007
AFG,2015,Beer,0.001
AFG,2015,Wine,0.0006
AFG,2015,Spirits,0.005
AFG,2015,Others,0.0001
AFG,2016,All,0.011
AFG,2016,Beer,0.001
AFG,2016,Wine,0.0006
AFG,2016,Spirits,0.009
AFG,2016,Others,0.0
AFG,2017,All,0.014
AFG,2017,Beer,0.0009
AFG,2017,Wine,0.0006
AFG,2017,Spirits,0.012
AFG,2017,Others,0.0
AFG,2018,All,0.013
AFG,2018,Beer,0.0008
AFG,2018,Wine,0.0006
AFG,2018,Spirits,0.012
AFG,2018,Others,0.0001
AFG,2019,All,0.013
AFG,2019,Beer,0.0008
AFG,2019,Wine,0.0006
AFG,2019,Spirits,0.012
AFG,2019,Others,0.0001
AFG,2020,All,0.009
AFG,2020,Beer,0.0006
AFG,2020,Wine,0.0005
AFG,2020,Spirits,0.008
AFG,2020,Others,0.0001
ALB,1962,All,1.17
ALB,1962,Beer,0.49
ALB,1962,Wine,0.28
ALB,1962,Spirits,0.41
ALB,1963,All,0.91
ALB,1963,Beer,0.52
ALB,1963,Wine,0.19
ALB,1963,Spirits,0.2
ALB,1964,All,1.04
ALB,1964,Beer,0.52
ALB,1964,Wine,0.26
ALB,1964,Spirits,0.26
ALB,1965,All,1.04
ALB,1965,Beer,0.5
ALB,1965,Wine,0.21
ALB,1965,Spirits,0.33
ALB,1966,All,1.03
ALB,1966,Beer,0.51
ALB,1966,Wine,0.13
ALB,1966,Spirits,0.38
ALB,1967,All,1.17
ALB,1967,Beer,0.49
ALB,1967,Wine,0.19
ALB,1967,Spirits,0.49
ALB,1968,All,1.44
ALB,1968,Beer,0.53
ALB,1968,Wine,0.36
ALB,1968,Spirits,0.55
ALB,1969,All,1.73
ALB,1969,Beer,0.54
ALB,1969,Wine,0.47
ALB,1969,Spirits,0.73
ALB,1970,All,1.77
ALB,1970,Beer,0.47
ALB,1970,Wine,0.51
ALB,1970,Spirits,0.79
ALB,1971,All,1.2
ALB,1971,Beer,0.48
ALB,1971,Wine,0.13
ALB,1971,Spirits,0.59
