AreaCode,Year,Sex,Litres
AND,2003,Female,5.51
AND,2003,Male,18.23
AND,2004,Both,12.19
AND,2004,Female,5.55
AND,2004,Male,18.31
AND,2005,Both,12.26
AND,2005,Female,5.58
AND,2005,Male,18.4
AND,2006,Both,12.19
AND,2006,Female,5.55
AND,2006,Male,18.32
AND,2007,Both,11.87
AND,2007,Female,5.42
AND,2007,Male,17.9
AND,2008,Both,11.52
AND,2008,Female,5.27
AND,2008,Male,17.44
AND,2009,Both,11.07
AND,2009,Female,5.07
AND,2009,Male,16.83
AND,2010,Both,10.78
AND,2010,Female,4.94
AND,2010,Male,16.46
AND,2011,Both,10.47
AND,2011,Female,4.8
AND,2011,Male,16.04
AND,2012,Both,10.32
AND,2012,Female,4.72
AND,2012,Male,15.84
AND,2013,Both,10.14
AND,2013,Female,4.63
AND,2013,Male,15.58
AND,2014,Both,10.38
AND,2014,Female,4.73
AND,2014,Male,15.96
AND,2015,Both,10.76
AND,2015,Female,4.9
AND,2015,Male,16.54
AND,2016,Both,11.19
AND,2016,Female,5.09
AND,2016,Male,17.2
AND,2017,Both,11.1
AND,2017,Female,5.04
AND,2017,Male,17.04
AND,2018,Both,11.05
AND,2018,Female,5.0
AND,2018,Male,16.94
AND,2019,Both,11.05
AND,2019,Female,5.0
AND,2019,Male,16.94
AND,2020,Both,9.68
AND,2020,Female,4.35
AND,2020,Male,14.81
AGO,2000,Both,5.19
AGO,2000,Female,2.26
AGO,2000,Male,8.32
AGO,2001,Both,5.19
AGO,2001,Female,2.26
AGO,2001,Male,8.32
AGO,2002,Both,5.43
AGO,2002,Female,2.37
AGO,2002,Male,8.7
AGO,2003,Both,5.58
AGO,2003,Female,2.44
AGO,2003,Male,8.93
AGO,2004,Both,6.08
AGO,2004,Female,2.67
AGO,2004,Male,9.71
AGO,2005,Both,6.69
AGO,2005,Female,2.96
AGO,2005,Male,10.66
AGO,2006,Both,7.27
AGO,2006,Female,3.23
AGO,2006,Male,11.57
AGO,2007,Both,7.61
AGO,2007,Female,3.39
AGO,2007,Male,12.09
AGO,2008,Both,7.78
AGO,2008,Female,3.48
AGO,2008,Male,12.36
AGO,2009,Both,8.11
AGO,2009,Female,3.63
AGO,2009,Male,12.86
AGO,2010,Both,8.32
AGO,2010,Female,3.72
AGO,2010,Male,13.19
AGO,2011,Both,8.59
AGO,2011,Female,3.85
AGO,2011,Male,13.6
AGO,2012,Both,8.61
AGO,2012,Female,3.86
AGO,2012,Male,13.64
AGO,2013,Both,8.74
AGO,2013,Female,3.92
AGO,2013,Male,13.84
AGO,2014,Both,8.32
AGO,2014,Female,3.72
AGO,2014,Male,13.18
AGO,2015,Both,7.76
AGO,2015,Female,3.45
AGO,2015,Male,12.3
AGO,2016,Both,7.01
AGO,2016,Female,3.1
AGO,2016,Male,11.14
AGO,2017,Both,6.67
AGO,2017,Female,2.94
AGO,2017,Male,10.6
AGO,2018,Both,6.17
AGO,2018,Female,2.71
AGO,2018,Male,9.82
AGO,2019,Both,6.17
AGO,2019,Female,2.71
AGO,2019,Male,9.82
AGO,2020,Both,4.13
AGO,2020,Female,1.77
AGO,2020,Male,6.61
ATG,2000,Both,5.29
ATG,2000,Female,2.28
ATG,2000,Male,8.83
ATG,2001,Both,5.29
ATG,2001,Female,2.28
ATG,2001,Male,8.83
ATG,2002,Both,5.21
ATG,2002,Female,2.24
ATG,2002,Male,8.7
ATG,2003,Both,5.1
ATG,2003,Female,2.19
ATG,2003,Male,8.52
ATG,2004,Both,5.43
ATG,2004,Female,2.34
ATG,2004,Male,9.05
ATG,2005,Both,5.95
ATG,2005,Female,2.58
ATG,2005,Male,9.9
ATG,2006,Both,6.43
ATG,2006,Female,2.8
ATG,2006,Male,10.67
ATG,2007,Both,6.5
ATG,2007,Female,2.83
ATG,2007,Male,10.77
ATG,2008,Both,6.25
ATG,2008,Female,2.72
ATG,2008,Male,10.36
ATG,2009,Both,5.97
ATG,2009,Female,2.58
ATG,2009,Male,9.91
ATG,2010,Both,5.74
ATG,2010,Female,2.46
ATG,2010,Male,9.53
ATG,2011,Both,5.91
ATG,2011,Female,2.53
ATG,2011,Male,9.81
ATG,2012,Both,6.44
ATG,2012,Female,2.76
ATG,2012,Male,10.67
ATG,2013,Both,7.0
ATG,2013,Female,3.0
ATG,2013,Male,11.58
ATG,2014,Both,7.24
ATG,2014,Female,3.09
ATG,2014,Male,11.96
ATG,2015,Both,7.39
ATG,2015,Female,3.15
ATG,2015,Male,12.2
ATG,2016,Both,7.73
ATG,2016,Female,3.3
ATG,2016,Male,12.75
ATG,2017,Both,8.26
ATG,2017,Female,3.53
ATG,2017,Male,13.61
ATG,2018,Both,8.51
ATG,2018,Female,3.63
ATG,2018,Male,14.02
ATG,2019,Both,8.51
ATG,2019,Female,3.63
ATG,2019,Male,14.02
ATG,2020,Both,6.66
ATG,2020,Female,2.78
ATG,2020,Male,11.04
ARG,2000,Both,6.73
ARG,2000,Female,3.12
ARG,2000,Male,10.55
ARG,2001,Both,6.73
ARG,2001,Female,3.12
ARG,2001,Male,10.55
ARG,2002,Both,6.17
ARG,2002,Female,2.85
ARG,2002,Male,9.68
ARG,2003,Both,5.84
ARG,2003,Female,2.69
ARG,2003,Male,9.17
ARG,2004,Both,5.95
ARG,2004,Female,2.75
ARG,2004,Male,9.33
ARG,2005,Both,6.17
ARG,2005,Female,2.85
ARG,2005,Male,9.67
ARG,2006,Both,6.62
ARG,2006,Female,3.06
ARG,2006,Male,10.37
ARG,2007,Both,7.0
ARG,2007,Female,3.24
ARG,2007,Male,10.96
ARG,2008,Both,7.27
ARG,2008,Female,3.37
ARG,2008,Male,11.38
ARG,2009,Both,7.44
ARG,2009,Female,3.45
ARG,2009,Male,11.64
ARG,2010,Both,7.69
ARG,2010,Female,3.57
ARG,2010,Male,12.02
ARG,2011,Both,8.11
ARG,2011,Female,3.76
ARG,2011,Male,12.68
ARG,2012,Both,8.4
ARG,2012,Female,3.9
ARG,2012,Male,13.12
ARG,2013,Both,8.48
ARG,2013,Female,3.93
ARG,2013,Male,13.24
ARG,2014,Both,8.63
ARG,2014,Female,4.0
ARG,2014,Male,13.47
ARG,2015,Both,8.57
ARG,2015,Female,3.97
ARG,2015,Male,13.39
ARG,2016,Both,8.6
ARG,2016,Female,3.98
ARG,2016,Male,13.44
ARG,2017,Both,8.34
ARG,2017,Female,3.86
ARG,2017,Male,13.03
ARG,2018,Both,8.04
ARG,2018,Female,3.71
ARG,2018,Male,12.56
ARG,2019,Both,8.04
ARG,2019,Female,3.71
ARG,2019,Male,12.56
ARG,2020,Both,8.05
ARG,2020,Female,3.71
ARG,2020,Male,12.59
ARM,2000,Both,3.71
ARM,2000,Female,1.55
ARM,2000,Male,6.28
ARM,2001,Both,3.71
ARM,2001,Female,1.55
ARM,2001,Male,6.28
ARM,2002,Both,3.73
ARM,2002,Female,1.56
ARM,2002,Male,6.32
ARM,2003,Both,4.03
ARM,2003,Female,1.7
ARM,2003,Male,6.82
ARM,2004,Both,4.49
ARM,2004,Female,1.91
ARM,2004,Male,7.59
ARM,2005,Both,4.84
ARM,2005,Female,2.08
ARM,2005,Male,8.19
ARM,2006,Both,4.95
ARM,2006,Female,2.14
ARM,2006,Male,8.38
ARM,2007,Both,4.88
ARM,2007,Female,2.11
ARM,2007,Male,8.28
ARM,2008,Both,4.9
ARM,2008,Female,2.13
ARM,2008,Male,8.32
ARM,2009,Both,4.99
ARM,2009,Female,2.17
ARM,2009,Male,8.49
ARM,2010,Both,5.06
ARM,2010,Female,2.2
ARM,2010,Male,8.62
ARM,2011,Both,5.03
ARM,2011,Female,2.19
ARM,2011,Male,8.59
ARM,2012,Both,4.91
ARM,2012,Female,2.14
ARM,2012,Male,8.41
ARM,2013,Both,4.96
ARM,2013,Female,2.15
ARM,2013,Male,8.51
ARM,2014,Both,4.99
ARM,2014,Female,2.17
ARM,2014,Male,8.59
ARM,2015,Both,4.98
ARM,2015,Female,2.16
ARM,2015,Male,8.59
ARM,2016,Both,4.88
ARM,2016,Female,2.11
ARM,2016,Male,8.45
ARM,2017,Both,4.85
ARM,2017,Female,2.09
ARM,2017,Male,8.43
ARM,2018,Both,4.98
ARM,2018,Female,2.15
ARM,2018,Male,8.67
ARM,2019,Both,4.98
ARM,2019,Female,2.15
ARM,2019,Male,8.67
ARM,2020,Both,4.28
ARM,2020,Female,1.83
ARM,2020,Male,7.49
AUS,2000,Both,10.55
AUS,2000,Female,4.92
AUS,2000,Male,16.37
AUS,2001,Both,10.55
AUS,2001,Female,4.92
AUS,2001,Male,16.37
AUS,2002,Both,10.48
AUS,2002,Female,4.89
AUS,2002,Male,16.26
AUS,2003,Both,10.57
AUS,2003,Female,4.93
AUS,2003,Male,16.4
AUS,2004,Both,10.72
AUS,2004,Female,5.0
AUS,2004,Male,16.61
AUS,2005,Both,10.82
AUS,2005,Female,5.05
AUS,2005,Male,16.76
AUS,2006,Both,11.05
AUS,2006,Female,5.16
AUS,2006,Male,17.1
AUS,2007,Both,11.19
AUS,2007,Female,5.23
AUS,2007,Male,17.3
AUS,2008,Both,11.28
AUS,2008,Female,5.28
AUS,2008,Male,17.43
AUS,2009,Both,11.26
AUS,2009,Female,5.27
AUS,2009,Male,17.39
AUS,2010,Both,11.1
AUS,2010,Female,5.2
AUS,2010,Male,17.14
AUS,2011,Both,10.9
AUS,2011,Female,5.1
AUS,2011,Male,16.84
AUS,2012,Both,10.72
AUS,2012,Female,5.02
AUS,2012,Male,16.56
AUS,2013,Both,10.58
AUS,2013,Female,4.96
AUS,2013,Male,16.35
AUS,2014,Both,10.46
AUS,2014,Female,4.91
AUS,2014,Male,16.17
AUS,2015,Both,10.39
AUS,2015,Female,4.87
AUS,2015,Male,16.07
AUS,2016,Both,10.25
AUS,2016,Female,4.81
AUS,2016,Male,15.86
AUS,2017,Both,10.19
AUS,2017,Female,4.78
AUS,2017,Male,15.77
AUS,2018,Both,10.09
AUS,2018,Female,4.74
AUS,2018,Male,15.62
AUS,2019,Both,10.09
AUS,2019,Female,4.74
AUS,2019,Male,15.62
AUS,2020,Both,10.29
AUS,2020,Female,4.83
AUS,2020,Male,15.92
AUT,2000,Both,12.89
AUT,2000,Female,5.88
AUT,2000,Male,20.53
AUT,2001,Both,12.89
AUT,2001,Female,5.88
AUT,2001,Male,20.53
AUT,2002,Both,12.63
AUT,2002,Female,5.76
AUT,2002,Male,20.11
AUT,2003,Both,12.53
AUT,2003,Female,5.71
AUT,2003,Male,19.93
AUT,2004,Both,12.59
AUT,2004,Female,5.74
AUT,2004,Male,20.0
AUT,2005,Both,12.61
AUT,2005,Female,5.75
AUT,2005,Male,20.01
AUT,2006,Both,12.73
AUT,2006,Female,5.81
AUT,2006,Male,20.18
AUT,2007,Both,12.66
AUT,2007,Female,5.78
AUT,2007,Male,20.05
AUT,2008,Both,12.4
AUT,2008,Female,5.66
AUT,2008,Male,19.64
AUT,2009,Both,12.27
AUT,2009,Female,5.6
AUT,2009,Male,19.43
AUT,2010,Both,12.23
AUT,2010,Female,5.58
AUT,2010,Male,19.36
AUT,2011,Both,12.35
AUT,2011,Female,5.64
AUT,2011,Male,19.53
AUT,2012,Both,12.34
AUT,2012,Female,5.64
AUT,2012,Male,19.5
AUT,2013,Both,12.49
AUT,2013,Female,5.71
AUT,2013,Male,19.72
AUT,2014,Both,12.33
AUT,2014,Female,5.63
AUT,2014,Male,19.44
AUT,2015,Both,12.19
AUT,2015,Female,5.56
AUT,2015,Male,19.2
AUT,2016,Both,11.93
AUT,2016,Female,5.44
AUT,2016,Male,18.76
AUT,2017,Both,11.92
AUT,2017,Female,5.43
AUT,2017,Male,18.73
AUT,2018,Both,11.97
AUT,2018,Female,5.46
AUT,2018,Male,18.81
AUT,2019,Both,11.97
AUT,2019,Female,5.46
AUT,2019,Male,18.81
AUT,2020,Both,11.51
AUT,2020,Female,5.22
AUT,2020,Male,18.09
AZE,2000,Both,1.57
AZE,2000,Female,0.45
AZE,2000,Male,2.83
AZE,2001,Both,1.57
AZE,2001,Female,0.45
AZE,2001,Male,2.83
AZE,2002,Both,1.59
AZE,2002,Female,0.46
AZE,2002,Male,2.86
AZE,2003,Both,1.63
AZE,2003,Female,0.47
AZE,2003,Male,2.94
AZE,2004,Both,1.7
AZE,2004,Female,0.49
AZE,2004,Male,3.06
AZE,2005,Both,1.81
AZE,2005,Female,0.52
AZE,2005,Male,3.24
AZE,2006,Both,1.91
AZE,2006,Female,0.55
AZE,2006,Male,3.41
AZE,2007,Both,2.03
AZE,2007,Female,0.58
AZE,2007,Male,3.62
AZE,2008,Both,1.94
AZE,2008,Female,0.56
AZE,2008,Male,3.46
AZE,2009,Both,1.98
AZE,2009,Female,0.57
AZE,2009,Male,3.52
AZE,2010,Both,1.81
AZE,2010,Female,0.52
AZE,2010,Male,3.23
AZE,2011,Both,1.78
AZE,2011,Female,0.51
AZE,2011,Male,3.17
AZE,2012,Both,1.51
AZE,2012,Female,0.43
AZE,2012,Male,2.7
AZE,2013,Both,1.41
AZE,2013,Female,0.4
AZE,2013,Male,2.51
AZE,2014,Both,1.4
AZE,2014,Female,0.39
AZE,2014,Male,2.51
AZE,2015,Both,1.44
AZE,2015,Female,0.4
AZE,2015,Male,2.57
AZE,2016,Both,1.46
AZE,2016,Female,0.4
AZE,2016,Male,2.61
AZE,2017,Both,1.59
AZE,2017,Female,0.44
AZE,2017,Male,2.85
AZE,2018,Both,1.97
AZE,2018,Female,0.54
AZE,2018,Male,3.51
AZE,2019,Both,1.97
AZE,2019,Female,0.54
AZE,2019,Male,3.51
AZE,2020,Both,2.49
AZE,2020,Female,0.68
AZE,2020,Male,4.44
BHS,2000,Both,4.83
BHS,2000,Female,2.06
BHS,2000,Male,7.8
BHS,2001,Both,4.83
BHS,2001,Female,2.06
BHS,2001,Male,7.8
BHS,2002,Both,4.64
BHS,2002,Female,1.98
BHS,2002,Male,7.51
BHS,2003,Both,4.56
BHS,2003,Female,1.94
BHS,2003,Male,7.38
BHS,2004,Both,4.55
BHS,2004,Female,1.94
