AreaCode,Sex,AgeGroup,Percentage
LVA,Male,30_44,39.21283
LVA,Male,45_59,33.661970000000004
LVA,Male,From60,19.27396180882445
LVA,Male,Under30,28.041539999999998
MEX,Female,30_44,16.05896
MEX,Female,45_59,15.06276
MEX,Female,From60,
MEX,Female,Under30,27.32026
MEX,Male,30_44,34.152539999999995
MEX,Male,45_59,30.67282
MEX,Male,From60,
MEX,Male,Under30,37.34151
MLT,Female,30_44,12.78539
MLT,Female,45_59,11.09023
MLT,Female,From60,6.185378244953637
MLT,Female,Under30,22.16066
MLT,Male,30_44,26.73267
MLT,Male,45_59,19.87448
MLT,Male,From60,15.322647912589696
MLT,Male,Under30,39.335179999999994
NOR,Female,30_44,44.54148
NOR,Female,45_59,33.80952
NOR,Female,From60,10.587363624078295
NOR,Female,Under30,54.5045
NOR,Male,30_44,65.22655
NOR,Male,45_59,59.43128
NOR,Male,From60,30.20719611653682
NOR,Male,Under30,64.13642
OECD,Female,30_44,14.6429738461538
OECD,Female,45_59,12.1180161538462
OECD,Female,From60,
OECD,Female,Under30,21.9273584615385
OECD,Male,30_44,35.234765769230805
OECD,Male,45_59,31.779243076923102
OECD,Male,From60,
OECD,Male,Under30,35.03617
POL,Female,30_44,9.52862
POL,Female,45_59,6.88688
POL,Female,From60,2.869076745920789
POL,Female,Under30,9.2735
POL,Male,30_44,30.16627
POL,Male,45_59,26.198320000000002
POL,Male,From60,15.365094126328408
POL,Male,Under30,24.40841
PRT,Female,30_44,4.70233
PRT,Female,45_59,3.45395
PRT,Female,From60,0.8506357957080558
PRT,Female,Under30,9.803920000000002
PRT,Male,30_44,27.02567
PRT,Male,45_59,23.62128
PRT,Male,From60,11.19663239025442
PRT,Male,Under30,25.56987
ROU,Female,30_44,21.91042
ROU,Female,45_59,21.36364
ROU,Female,From60,14.11298139678829
ROU,Female,Under30,12.25906
ROU,Male,30_44,59.04815
ROU,Male,45_59,62.37386
ROU,Male,From60,46.99606800531032
ROU,Male,Under30,37.43552
SVK,Female,30_44,5.74713
SVK,Female,45_59,5.29328
SVK,Female,From60,1.9226164309893032
SVK,Female,Under30,7.2407
SVK,Male,30_44,25.62225
SVK,Male,45_59,23.734730000000003
SVK,Male,From60,14.52672004402433
SVK,Male,Under30,18.25095
SVN,Female,30_44,10.28501
SVN,Female,45_59,8.82709
SVN,Female,From60,4.446787389861991
SVN,Female,Under30,22.09131
SVN,Male,30_44,33.933930000000004
SVN,Male,45_59,25.07508
SVN,Male,From60,14.53768012602438
SVN,Male,Under30,41.04235
SWE,Female,30_44,9.49555
SWE,Female,45_59,9.44206
SWE,Female,From60,6.271156976305969
SWE,Female,Under30,25.17289
SWE,Male,30_44,33.46667
SWE,Male,45_59,26.64975
SWE,Male,From60,18.78136615478991
SWE,Male,Under30,37.08971
USA,Female,30_44,16.01831
USA,Female,45_59,12.820509999999999
USA,Female,From60,5.01001905448801
USA,Female,Under30,18.732779999999998
USA,Male,30_44,36.093419999999995
USA,Male,45_59,28.33333
USA,Male,From60,15.36339800507698
USA,Male,Under30,34.46475
