AreaCode,Sex,AgeGroup,Percentage
MEX,Female,Under30,9.309090000000001
MEX,Male,30_44,24.56527
MEX,Male,45_59,24.790499999999998
MEX,Male,From60,
MEX,Male,Under30,22.48793
MLT,Female,30_44,24.32432
MLT,Female,45_59,24.344569999999997
MLT,Female,From60,15.539878628632605
MLT,Female,Under30,32.41758
MLT,Male,30_44,46.53465
MLT,Male,45_59,47.91667
MLT,Male,From60,44.34039969993477
MLT,Male,Under30,51.64835
NOR,Female,30_44,22.52448
NOR,Female,45_59,34.03042
NOR,Female,From60,31.247691274247476
NOR,Female,Under30,14.36588
NOR,Male,30_44,33.5084
NOR,Male,45_59,44.0566
NOR,Male,From60,47.341020122315626
NOR,Male,Under30,22.75711
OECD,Female,30_44,23.4729184
OECD,Female,45_59,27.2203184
OECD,Female,From60,
OECD,Female,Under30,17.8977796
OECD,Male,30_44,43.2258032
OECD,Male,45_59,47.9623492
OECD,Male,From60,
OECD,Male,Under30,30.432438
POL,Female,30_44,10.46164
POL,Female,45_59,7.11426
POL,Female,From60,3.2094653858955255
POL,Female,Under30,7.747669999999999
POL,Male,30_44,28.666150000000002
POL,Male,45_59,24.74892
POL,Male,From60,15.75550543170903
POL,Male,Under30,17.18615
PRT,Female,30_44,18.76076
PRT,Female,45_59,27.276460000000004
PRT,Female,From60,20.66904217352939
PRT,Female,Under30,12.566849999999999
PRT,Male,30_44,58.43374
PRT,Male,45_59,70.7483
PRT,Male,From60,68.01789137271778
PRT,Male,Under30,33.53116
ROU,Female,30_44,7.33945
ROU,Female,45_59,6.721159999999999
ROU,Female,From60,5.211441027738082
ROU,Female,Under30,2.54237
ROU,Male,30_44,38.32965
ROU,Male,45_59,41.45053
ROU,Male,From60,30.597259747759708
ROU,Male,Under30,19.27888
SVK,Female,30_44,9.961689999999999
SVK,Female,45_59,10.15737
SVK,Female,From60,4.513628660663292
SVK,Female,Under30,7.827789999999999
SVK,Male,30_44,31.918010000000002
SVK,Male,45_59,36.12565
SVK,Male,From60,30.90493151083186
SVK,Male,Under30,20.15209
SVN,Female,30_44,18.4178
SVN,Female,45_59,19.614919999999998
SVN,Female,From60,21.423877188705994
SVN,Female,Under30,14.411769999999999
SVN,Male,30_44,44.67766
SVN,Male,45_59,52.2388
SVN,Male,From60,52.20942579367812
SVN,Male,Under30,32.73616
