AreaCode,PublicPlace,Restriction
BHS,Educational buildings,Voluntary/self-restricted
BHS,Leisure events,Voluntary/self-restricted
BHS,Parks and streets,Voluntary/self-restricted
BHS,Public transport,Voluntary/self-restricted
BHS,Places of worship,Voluntary/self-restricted
BHS,Sporting events,Voluntary/self-restricted
BHS,Workplaces,Voluntary/self-restricted
BHS,Healthcare establishments,Voluntary/self-restricted
BIH,Healthcare establishments,Voluntary/self-restricted
BIH,Leisure events,Voluntary/self-restricted
BIH,Public transport,Voluntary/self-restricted
BIH,Government offices,Voluntary/self-restricted
BIH,Educational buildings,Voluntary/self-restricted
BIH,Places of worship,Voluntary/self-restricted
BIH,Sporting events,Ban
BIH,Workplaces,Voluntary/self-restricted
BIH,Parks and streets,No restrictions
BLR,Government offices,Ban
BLR,Educational buildings,Ban
BLR,Healthcare establishments,Ban
BLR,Leisure events,Ban
BLR,Parks and streets,Ban
BLR,Sporting events,Ban
BLR,Public transport,Ban
BLR,Places of worship,Ban
BLR,Workplaces,Ban
BLZ,Public transport,Voluntary/self-restricted
BLZ,Sporting events,Voluntary/self-restricted
BLZ,Places of worship,Voluntary/self-restricted
BLZ,Parks and streets,Voluntary/self-restricted
BLZ,Leisure events,Voluntary/self-restricted
BLZ,Healthcare establishments,Voluntary/self-restricted
BLZ,Government offices,Voluntary/self-restricted
BLZ,Educational buildings,Voluntary/self-restricted
BLZ,Workplaces,Voluntary/self-restricted
BOL,Parks and streets,No data
BOL,Leisure events,No data
BOL,Healthcare establishments,No data
BOL,Government offices,No data
BOL,Workplaces,No data
BOL,Sporting events,No data
BOL,Places of worship,No data
BOL,Educational buildings,No data
BOL,Public transport,No data
BRA,Educational buildings,Ban
BRA,Healthcare establishments,Ban
BRA,Workplaces,Voluntary/self-restricted
BRA,Leisure events,Voluntary/self-restricted
BRA,Sporting events,Voluntary/self-restricted
BRA,Places of worship,No restrictions
BRA,Parks and streets,No restrictions
BRA,Public transport,Partial restriction
BRA,Government offices,Partial restriction
BRB,Workplaces,Voluntary/self-restricted
BRB,Leisure events,No restrictions
BRB,Educational buildings,Voluntary/self-restricted
BRB,Government offices,Voluntary/self-restricted
BRB,Public transport,Voluntary/self-restricted
BRB,Sporting events,No restrictions
BRB,Places of worship,Voluntary/self-restricted
BRB,Healthcare establishments,Voluntary/self-restricted
BRB,Parks and streets,No restrictions
BRN,Parks and streets,No data
BRN,Public transport,No data
BRN,Places of worship,No data
BRN,Workplaces,No data
BRN,Government offices,No data
BRN,Educational buildings,No data
BRN,Leisure events,No data
BRN,Sporting events,No data
BRN,Healthcare establishments,No data
BTN,Government offices,Ban
BTN,Healthcare establishments,Voluntary/self-restricted
BTN,Sporting events,Voluntary/self-restricted
BTN,Educational buildings,Ban
BTN,Places of worship,Ban
BTN,Public transport,Ban
BTN,Workplaces,Ban
BTN,Parks and streets,No restrictions
BTN,Leisure events,No restrictions
BWA,Healthcare establishments,Ban
BWA,Parks and streets,Ban
BWA,Educational buildings,Ban
BWA,Sporting events,Partial restriction
BWA,Leisure events,Partial restriction
BWA,Workplaces,Ban
BWA,Places of worship,Ban
BWA,Public transport,Ban
BWA,Government offices,Ban
CAF,Parks and streets,Voluntary/self-restricted
CAF,Leisure events,Voluntary/self-restricted
CAF,Government offices,Partial restriction
CAF,Healthcare establishments,Partial restriction
CAF,Places of worship,Ban
CAF,Public transport,Ban
CAF,Educational buildings,Ban
CAF,Sporting events,Voluntary/self-restricted
CAF,Workplaces,Partial restriction
CAN,Educational buildings,No data
CAN,Workplaces,No data
CAN,Sporting events,No data
CAN,Places of worship,No data
CAN,Public transport,No data
CAN,Government offices,No data
CAN,Healthcare establishments,No data
CAN,Leisure events,No data
CAN,Parks and streets,No data
CHE,Educational buildings,Voluntary/self-restricted
CHE,Sporting events,Voluntary/self-restricted
CHE,Government offices,No restrictions
CHE,Places of worship,Voluntary/self-restricted
CHE,Healthcare establishments,No restrictions
CHE,Parks and streets,No restrictions
CHE,Public transport,No restrictions
CHE,Workplaces,Voluntary/self-restricted
CHE,Leisure events,Voluntary/self-restricted
CHL,Leisure events,Voluntary/self-restricted
CHL,Places of worship,Voluntary/self-restricted
CHL,Healthcare establishments,Voluntary/self-restricted
CHL,Government offices,Voluntary/self-restricted
CHL,Workplaces,Voluntary/self-restricted
CHL,Public transport,Ban
CHL,Parks and streets,Ban
CHL,Educational buildings,Ban
CHL,Sporting events,Voluntary/self-restricted
CHN,Healthcare establishments,No restrictions
CHN,Places of worship,No restrictions
CHN,Public transport,No restrictions
CHN,Parks and streets,No restrictions
CHN,Leisure events,No restrictions
CHN,Workplaces,No restrictions
CHN,Sporting events,No restrictions
CHN,Educational buildings,Ban
CHN,Government offices,Ban
CIV,Public transport,Ban
CIV,Healthcare establishments,Ban
