AreaCode,PublicPlace,Restriction
KNA,Parks and streets,No restrictions
KNA,Healthcare establishments,No restrictions
KNA,Government offices,No restrictions
KOR,Educational buildings,No restrictions
KOR,Government offices,No restrictions
KOR,Healthcare establishments,No restrictions
KOR,Leisure events,No restrictions
KOR,Parks and streets,No restrictions
KOR,Public transport,No restrictions
KOR,Sporting events,No restrictions
KOR,Workplaces,No restrictions
KOR,Places of worship,No restrictions
KWT,Parks and streets,No data
KWT,Healthcare establishments,No data
KWT,Sporting events,No data
KWT,Places of worship,No data
KWT,Leisure events,No data
KWT,Public transport,No data
KWT,Government offices,No data
KWT,Workplaces,No data
KWT,Educational buildings,No data
LAO,Sporting events,Ban
LAO,Places of worship,Ban
LAO,Public transport,Ban
LAO,Healthcare establishments,Ban
LAO,Educational buildings,Ban
LAO,Parks and streets,No restrictions
LAO,Government offices,Ban
LAO,Leisure events,No restrictions
LAO,Workplaces,Ban
LBN,Workplaces,Ban
LBN,Educational buildings,Ban
LBN,Places of worship,Ban
LBN,Leisure events,No restrictions
LBN,Healthcare establishments,Ban
LBN,Parks and streets,No restrictions
LBN,Sporting events,No restrictions
LBN,Government offices,Ban
LBN,Public transport,Voluntary/self-restricted
LBR,Government offices,Voluntary/self-restricted
LBR,Healthcare establishments,Voluntary/self-restricted
LBR,Sporting events,Voluntary/self-restricted
LBR,Public transport,No restrictions
LBR,Parks and streets,No restrictions
LBR,Leisure events,No restrictions
LBR,Places of worship,Ban
LBR,Workplaces,Ban
LBR,Educational buildings,Voluntary/self-restricted
LBY,Workplaces,Ban
LBY,Sporting events,Ban
LBY,Places of worship,Ban
LBY,Parks and streets,Ban
LBY,Public transport,Ban
LBY,Healthcare establishments,Ban
LBY,Government offices,Ban
LBY,Educational buildings,Ban
LBY,Leisure events,Ban
LCA,Public transport,Voluntary/self-restricted
LCA,Parks and streets,Voluntary/self-restricted
LCA,Leisure events,Voluntary/self-restricted
LCA,Healthcare establishments,Voluntary/self-restricted
LCA,Government offices,Voluntary/self-restricted
LCA,Educational buildings,Voluntary/self-restricted
LCA,Places of worship,Voluntary/self-restricted
LCA,Sporting events,Voluntary/self-restricted
LCA,Workplaces,Voluntary/self-restricted
LKA,Public transport,Partial restriction
LKA,Sporting events,Partial restriction
LKA,Workplaces,Ban
LKA,Leisure events,No restrictions
LKA,Places of worship,Voluntary/self-restricted
LKA,Parks and streets,Partial restriction
LKA,Healthcare establishments,Partial restriction
LKA,Government offices,Partial restriction
LKA,Educational buildings,Partial restriction
LSO,Parks and streets,No restrictions
LSO,Educational buildings,Voluntary/self-restricted
LSO,Public transport,No restrictions
LSO,Sporting events,No restrictions
LSO,Government offices,Voluntary/self-restricted
LSO,Leisure events,No restrictions
LSO,Places of worship,Voluntary/self-restricted
LSO,Healthcare establishments,Voluntary/self-restricted
LSO,Workplaces,Partial restriction
LTU,Sporting events,Partial restriction
LTU,Leisure events,Partial restriction
LTU,Public transport,Ban
LTU,Places of worship,Ban
LTU,Parks and streets,Ban
LTU,Healthcare establishments,Ban
LTU,Government offices,Ban
LTU,Educational buildings,Ban
LTU,Workplaces,Ban
LUX,Parks and streets,No restrictions
LUX,Educational buildings,No restrictions
LUX,Leisure events,No restrictions
LUX,Public transport,No restrictions
LUX,Government offices,No restrictions
LUX,Sporting events,No restrictions
LUX,Workplaces,No restrictions
LUX,Places of worship,No restrictions
LUX,Healthcare establishments,Voluntary/self-restricted
LVA,Sporting events,Partial restriction
LVA,Places of worship,Partial restriction
LVA,Public transport,Partial restriction
LVA,Parks and streets,Partial restriction
LVA,Leisure events,Partial restriction
LVA,Healthcare establishments,Ban
LVA,Government offices,Ban
LVA,Educational buildings,Ban
LVA,Workplaces,Ban
MAR,Parks and streets,Ban
MAR,Educational buildings,Ban
MAR,Government offices,Ban
MAR,Healthcare establishments,Ban
MAR,Leisure events,Ban
MAR,Public transport,Ban
MAR,Places of worship,Ban
MAR,Sporting events,Ban
MAR,Workplaces,Ban
MCO,Educational buildings,Ban
MCO,Places of worship,Voluntary/self-restricted
MCO,Workplaces,Voluntary/self-restricted
MCO,Sporting events,Ban
MCO,Government offices,Ban
MCO,Healthcare establishments,No restrictions
MCO,Leisure events,No restrictions
MCO,Parks and streets,No restrictions
MCO,Public transport,No restrictions
MDA,Sporting events,Partial restriction
MDA,Educational buildings,Ban
MDA,Healthcare establishments,Ban
MDA,Parks and streets,Ban
MDA,Government offices,Ban
MDA,Workplaces,Ban
MDA,Leisure events,Partial restriction
MDA,Places of worship,Voluntary/self-restricted
MDA,Public transport,Ban
MDG,Public transport,Ban
MDG,Healthcare establishments,Ban
MDG,Government offices,Ban
MDG,Educational buildings,Ban
MDG,Parks and streets,Ban
MDG,Places of worship,Ban
MDG,Sporting events,Ban
MDG,Leisure events,Voluntary/self-restricted
MDG,Workplaces,Ban
MDV,Educational buildings,Ban
MDV,Healthcare establishments,Ban
MDV,Leisure events,Ban
MDV,Government offices,Ban
MDV,Places of worship,Ban
MDV,Workplaces,Ban
MDV,Public transport,Ban
MDV,Sporting events,Ban
MDV,Parks and streets,Ban
MEX,Workplaces,Ban
MEX,Government offices,Ban
MEX,Educational buildings,Ban
MEX,Healthcare establishments,Ban
MEX,Sporting events,Voluntary/self-restricted
MEX,Public transport,Voluntary/self-restricted
MEX,Places of worship,Voluntary/self-restricted
MEX,Parks and streets,Voluntary/self-restricted
MEX,Leisure events,Voluntary/self-restricted
MHL,Parks and streets,Ban
MHL,Workplaces,Ban
MHL,Sporting events,Ban
MHL,Places of worship,Ban
MHL,Public transport,Ban
MHL,Government offices,Ban
MHL,Leisure events,Ban
MHL,Educational buildings,Ban
MHL,Healthcare establishments,Ban
MKD,Sporting events,Ban
MKD,Leisure events,Voluntary/self-restricted
MKD,Workplaces,Ban
MKD,Government offices,Partial restriction
MKD,Places of worship,Ban
MKD,Public transport,Ban
MKD,Parks and streets,No restrictions
MKD,Healthcare establishments,Ban
MKD,Educational buildings,Ban
MLI,Leisure events,No restrictions
MLI,Places of worship,Partial restriction
MLI,Government offices,No restrictions
MLI,Healthcare establishments,No restrictions
MLI,Workplaces,No restrictions
MLI,Sporting events,No restrictions
MLI,Parks and streets,No restrictions
MLI,Educational buildings,Partial restriction
MLI,Public transport,No restrictions
MLT,Public transport,Ban
MLT,Healthcare establishments,Ban
MLT,Educational buildings,Ban
MLT,Leisure events,Partial restriction
MLT,Parks and streets,Partial restriction
MLT,Sporting events,Partial restriction
MLT,Government offices,Partial restriction
MLT,Places of worship,Voluntary/self-restricted
MLT,Workplaces,Voluntary/self-restricted
MMR,Places of worship,Ban
MMR,Workplaces,Partial restriction
MMR,Sporting events,Partial restriction
MMR,Public transport,Partial restriction
MMR,Parks and streets,Partial restriction
MMR,Leisure events,Partial restriction
MMR,Healthcare establishments,Ban
MMR,Government offices,Ban
MMR,Educational buildings,Ban
MNE,Public transport,Ban
MNE,Parks and streets,Ban
MNE,Sporting events,Ban
MNE,Places of worship,Ban
MNE,Leisure events,Ban
MNE,Workplaces,Ban
MNE,Government offices,No restrictions
MNE,Educational buildings,No restrictions
MNE,Healthcare establishments,No restrictions
MNG,Places of worship,No restrictions
MNG,Government offices,Ban
MNG,Public transport,Ban
MNG,Healthcare establishments,Ban
MNG,Sporting events,Partial restriction
MNG,Leisure events,Voluntary/self-restricted
MNG,Parks and streets,No restrictions
MNG,Educational buildings,Ban
MNG,Workplaces,Ban
MOZ,Sporting events,No restrictions
MOZ,Educational buildings,Ban
MOZ,Government offices,Ban
MOZ,Healthcare establishments,Ban
MOZ,Public transport,Ban
MOZ,Leisure events,No restrictions
MOZ,Workplaces,Ban
MOZ,Parks and streets,Partial restriction
MOZ,Places of worship,Voluntary/self-restricted
MRT,Public transport,Ban
MRT,Parks and streets,Ban
MRT,Government offices,Ban
MRT,Healthcare establishments,Ban
MRT,Educational buildings,Ban
MRT,Sporting events,Ban
MRT,Leisure events,Ban
MRT,Places of worship,Ban
MRT,Workplaces,Ban
MUS,Government offices,Ban
MUS,Educational buildings,Ban
MUS,Public transport,Ban
MUS,Places of worship,Ban
MUS,Sporting events,Ban
MUS,Workplaces,Ban
MUS,Parks and streets,Ban
MUS,Leisure events,Ban
MUS,Healthcare establishments,Ban
MWI,Public transport,Ban
MWI,Parks and streets,Ban
MWI,Healthcare establishments,Ban
MWI,Government offices,Ban
MWI,Educational buildings,Ban
MWI,Sporting events,Ban
MWI,Leisure events,No restrictions
MWI,Places of worship,Ban
MWI,Workplaces,Ban
MYS,Educational buildings,Partial restriction
MYS,Public transport,No restrictions
MYS,Parks and streets,No restrictions
MYS,Leisure events,No restrictions
MYS,Sporting events,Voluntary/self-restricted
MYS,Places of worship,Voluntary/self-restricted
MYS,Workplaces,Ban
MYS,Healthcare establishments,Voluntary/self-restricted
MYS,Government offices,Partial restriction
NAM,Parks and streets,Ban
NAM,Government offices,Ban
NAM,Workplaces,Ban
NAM,Healthcare establishments,Ban
NAM,Sporting events,No restrictions
NAM,Educational buildings,Voluntary/self-restricted
NAM,Leisure events,No restrictions
NAM,Places of worship,Voluntary/self-restricted
NAM,Public transport,Voluntary/self-restricted
NER,Government offices,Ban
NER,Educational buildings,Ban
NER,Public transport,Ban
NER,Places of worship,Ban
NER,Sporting events,Ban
NER,Healthcare establishments,Ban
NER,Workplaces,Ban
NER,Leisure events,No restrictions
NER,Parks and streets,Ban
NGA,Government offices,Ban
NGA,Sporting events,Partial restriction
NGA,Educational buildings,Ban
NGA,Healthcare establishments,Ban
NGA,Parks and streets,No restrictions
NGA,Leisure events,No restrictions
NGA,Places of worship,Ban
NGA,Workplaces,Ban
NGA,Public transport,Voluntary/self-restricted
NIC,Educational buildings,No data
NIC,Workplaces,No data
NIC,Leisure events,Voluntary/self-restricted
NIC,Public transport,Voluntary/self-restricted
NIC,Places of worship,Voluntary/self-restricted
NIC,Sporting events,Partial restriction
NIC,Parks and streets,No restrictions
NIC,Government offices,Voluntary/self-restricted
NIC,Healthcare establishments,Voluntary/self-restricted
NIU,Places of worship,No data
NIU,Public transport,No data
NIU,Government offices,No data
NIU,Sporting events,No data
NIU,Workplaces,No data
NIU,Healthcare establishments,No data
NIU,Leisure events,No data
NIU,Parks and streets,No data
NIU,Educational buildings,No data
NLD,Leisure events,Partial restriction
NLD,Public transport,Partial restriction
NLD,Sporting events,Partial restriction
NLD,Healthcare establishments,Partial restriction
NLD,Places of worship,Partial restriction
NLD,Government offices,Partial restriction
NLD,Parks and streets,Voluntary/self-restricted
NLD,Workplaces,Voluntary/self-restricted
NLD,Educational buildings,Partial restriction
NOR,Government offices,Partial restriction
NOR,Healthcare establishments,Partial restriction
NOR,Educational buildings,Partial restriction
NOR,Public transport,Partial restriction
NOR,Leisure events,Voluntary/self-restricted
NOR,Places of worship,Voluntary/self-restricted
NOR,Sporting events,Voluntary/self-restricted
NOR,Workplaces,Voluntary/self-restricted
NOR,Parks and streets,Ban
NPL,Workplaces,No data
NPL,Sporting events,No data
NPL,Public transport,No data
NPL,Places of worship,No data
NPL,Leisure events,No data
NPL,Government offices,No data
NPL,Educational buildings,No data
NPL,Healthcare establishments,No data
NPL,Parks and streets,No data
NRU,Sporting events,No data
NRU,Government offices,No data
NRU,Healthcare establishments,No data
NRU,Leisure events,No data
NRU,Parks and streets,No data
NRU,Public transport,No data
NRU,Places of worship,No data
NRU,Workplaces,No data
NRU,Educational buildings,No data
NZL,Workplaces,Voluntary/self-restricted
NZL,Sporting events,Partial restriction
NZL,Public transport,Partial restriction
NZL,Places of worship,No restrictions
NZL,Parks and streets,Partial restriction
NZL,Leisure events,Partial restriction
NZL,Educational buildings,Voluntary/self-restricted
NZL,Healthcare establishments,Voluntary/self-restricted
NZL,Government offices,Voluntary/self-restricted
OMN,Public transport,Ban
OMN,Sporting events,Ban
OMN,Workplaces,Ban
OMN,Parks and streets,Ban
OMN,Places of worship,Ban
OMN,Leisure events,Ban
OMN,Government offices,Ban
OMN,Educational buildings,Ban
OMN,Healthcare establishments,Ban
PAK,Sporting events,Ban
PAK,Workplaces,Ban
PAK,Places of worship,Ban
PAK,Public transport,Ban
PAK,Parks and streets,Ban
PAK,Healthcare establishments,Ban
PAK,Government offices,Ban
PAK,Leisure events,Ban
PAK,Educational buildings,Ban
PAN,Parks and streets,Ban
PAN,Workplaces,Ban
PAN,Public transport,Ban
PAN,Healthcare establishments,Ban
PAN,Government offices,Ban
PAN,Educational buildings,Ban
PAN,Leisure events,No restrictions
PAN,Places of worship,Voluntary/self-restricted
PAN,Sporting events,No restrictions
PER,Public transport,Voluntary/self-restricted
PER,Workplaces,Ban
PER,Healthcare establishments,Ban
PER,Leisure events,No restrictions
PER,Sporting events,Ban
PER,Educational buildings,Partial restriction
PER,Government offices,No data
PER,Places of worship,Voluntary/self-restricted
PER,Parks and streets,Partial restriction
PHL,Workplaces,Ban
PHL,Educational buildings,Ban
PHL,Healthcare establishments,Ban
PHL,Leisure events,Ban
PHL,Parks and streets,Ban
PHL,Public transport,Ban
PHL,Places of worship,Ban
PHL,Sporting events,No restrictions
PHL,Government offices,Ban
PLW,Leisure events,No data
PLW,Government offices,No data
PLW,Educational buildings,No data
PLW,Parks and streets,No data
PLW,Public transport,No data
PLW,Places of worship,No data
PLW,Sporting events,No data
PLW,Workplaces,No data
PLW,Healthcare establishments,No data
PNG,Workplaces,No data
PNG,Sporting events,No data
PNG,Places of worship,No data
PNG,Public transport,No data
PNG,Parks and streets,No data
PNG,Healthcare establishments,No data
PNG,Government offices,No data
PNG,Educational buildings,No data
PNG,Leisure events,No data
POL,Workplaces,No restrictions
POL,Sporting events,Partial restriction
POL,Leisure events,Partial restriction
POL,Places of worship,Voluntary/self-restricted
POL,Healthcare establishments,Voluntary/self-restricted
POL,Educational buildings,Ban
POL,Government offices,Voluntary/self-restricted
POL,Parks and streets,Ban
POL,Public transport,Ban
PRK,Workplaces,No data
PRK,Sporting events,No data
PRK,Public transport,No data
PRK,Educational buildings,No data
PRK,Parks and streets,No data
PRK,Government offices,No data
PRK,Leisure events,No data
PRK,Places of worship,No data
PRK,Healthcare establishments,No data
PRT,Leisure events,Partial restriction
PRT,Government offices,Partial restriction
PRT,Educational buildings,Partial restriction
PRT,Places of worship,Voluntary/self-restricted
PRT,Public transport,Partial restriction
PRT,Parks and streets,Partial restriction
PRT,Healthcare establishments,Ban
PRT,Workplaces,Partial restriction
PRT,Sporting events,Partial restriction
PRY,Sporting events,No restrictions
PRY,Places of worship,No restrictions
PRY,Public transport,No restrictions
PRY,Leisure events,No restrictions
PRY,Educational buildings,No restrictions
PRY,Workplaces,No restrictions
PRY,Government offices,No restrictions
PRY,Healthcare establishments,No restrictions
PRY,Parks and streets,No restrictions
QAT,Sporting events,No data
QAT,Places of worship,No data
QAT,Workplaces,No data
QAT,Public transport,No data
QAT,Parks and streets,No data
QAT,Leisure events,No data
QAT,Educational buildings,No data
QAT,Government offices,No data
QAT,Healthcare establishments,No data
ROU,Workplaces,Ban
ROU,Educational buildings,Ban
ROU,Places of worship,Voluntary/self-restricted
ROU,Sporting events,Ban
ROU,Public transport,Ban
ROU,Parks and streets,Ban
ROU,Government offices,Ban
ROU,Healthcare establishments,Ban
ROU,Leisure events,Ban
RUS,Government offices,Partial restriction
RUS,Leisure events,Partial restriction
RUS,Workplaces,Partial restriction
RUS,Places of worship,No restrictions
RUS,Sporting events,Ban
RUS,Public transport,Ban
RUS,Healthcare establishments,Ban
RUS,Educational buildings,Ban
RUS,Parks and streets,Partial restriction
RWA,Places of worship,No restrictions
RWA,Leisure events,Voluntary/self-restricted
RWA,Parks and streets,Partial restriction
RWA,Sporting events,Partial restriction
RWA,Workplaces,Ban
RWA,Public transport,Ban
RWA,Healthcare establishments,Ban
RWA,Government offices,Ban
RWA,Educational buildings,Ban
SAU,Leisure events,No data
SAU,Sporting events,No data
SAU,Places of worship,No data
SAU,Public transport,No data
SAU,Parks and streets,No data
SAU,Educational buildings,No data
SAU,Government offices,No data
SAU,Healthcare establishments,No data
SAU,Workplaces,No data
SDN,Healthcare establishments,Ban
SDN,Leisure events,Ban
SDN,Parks and streets,Ban
SDN,Public transport,Ban
SDN,Places of worship,Ban
SDN,Sporting events,Ban
SDN,Workplaces,Ban
SDN,Government offices,Ban
SDN,Educational buildings,Ban
SEN,Public transport,Ban
SEN,Places of worship,Ban
SEN,Sporting events,Ban
SEN,Workplaces,Ban
SEN,Educational buildings,Ban
SEN,Leisure events,Partial restriction
SEN,Parks and streets,Partial restriction
SEN,Healthcare establishments,Ban
SEN,Government offices,Ban
SGP,Leisure events,Partial restriction
SGP,Parks and streets,Partial restriction
SGP,Public transport,Partial restriction
SGP,Sporting events,Partial restriction
SGP,Workplaces,No restrictions
SGP,Places of worship,No restrictions
SGP,Government offices,No restrictions
SGP,Healthcare establishments,Ban
SGP,Educational buildings,No restrictions
SLB,Workplaces,No data
SLB,Places of worship,No data
SLB,Sporting events,No data
SLB,Parks and streets,No data
SLB,Leisure events,No data
SLB,Healthcare establishments,No data
SLB,Government offices,No data
SLB,Educational buildings,No data
SLB,Public transport,No data
SLE,Leisure events,No restrictions
SLE,Sporting events,No restrictions
SLE,Parks and streets,No restrictions
SLE,Educational buildings,Ban
SLE,Places of worship,Ban
SLE,Government offices,Ban
SLE,Healthcare establishments,Ban
SLE,Workplaces,Ban
SLE,Public transport,Voluntary/self-restricted
SLV,Leisure events,Voluntary/self-restricted
SLV,Public transport,Voluntary/self-restricted
SLV,Places of worship,Voluntary/self-restricted
SLV,Sporting events,Voluntary/self-restricted
SLV,Workplaces,Voluntary/self-restricted
SLV,Educational buildings,Voluntary/self-restricted
SLV,Healthcare establishments,Voluntary/self-restricted
SLV,Parks and streets,Voluntary/self-restricted
SLV,Government offices,Voluntary/self-restricted
SMR,Parks and streets,No restrictions
SMR,Places of worship,No restrictions
SMR,Public transport,No restrictions
SMR,Leisure events,No restrictions
SMR,Healthcare establishments,No restrictions
SMR,Government offices,No restrictions
SMR,Workplaces,No restrictions
SMR,Educational buildings,No restrictions
SMR,Sporting events,Partial restriction
SOM,Workplaces,Ban
SOM,Sporting events,Ban
SOM,Places of worship,Ban
SOM,Public transport,Ban
SOM,Healthcare establishments,Ban
SOM,Parks and streets,Ban
SOM,Leisure events,Ban
SOM,Educational buildings,Ban
SOM,Government offices,Ban
SRB,Sporting events,Voluntary/self-restricted
SRB,Leisure events,Voluntary/self-restricted
SRB,Places of worship,Voluntary/self-restricted
SRB,Healthcare establishments,Ban
SRB,Government offices,Ban
SRB,Educational buildings,Ban
SRB,Workplaces,Ban
SRB,Public transport,Ban
SRB,Parks and streets,Ban
SSD,Educational buildings,Voluntary/self-restricted
SSD,Leisure events,No restrictions
SSD,Healthcare establishments,Voluntary/self-restricted
SSD,Places of worship,Voluntary/self-restricted
SSD,Public transport,No restrictions
SSD,Government offices,Voluntary/self-restricted
SSD,Workplaces,Voluntary/self-restricted
SSD,Parks and streets,No restrictions
SSD,Sporting events,No restrictions
STP,Government offices,No restrictions
STP,Healthcare establishments,No restrictions
STP,Workplaces,No restrictions
STP,Sporting events,No restrictions
STP,Places of worship,No restrictions
STP,Public transport,No restrictions
STP,Parks and streets,No restrictions
STP,Leisure events,No restrictions
STP,Educational buildings,No restrictions
SUR,Public transport,No restrictions
SUR,Workplaces,No restrictions
SUR,Leisure events,No restrictions
SUR,Parks and streets,No restrictions
SUR,Sporting events,No restrictions
SUR,Places of worship,No restrictions
SUR,Government offices,Partial restriction
SUR,Healthcare establishments,Partial restriction
SUR,Educational buildings,Partial restriction
SVK,Leisure events,Ban
SVK,Places of worship,No data
SVK,Parks and streets,Voluntary/self-restricted
SVK,Workplaces,Ban
SVK,Sporting events,Ban
SVK,Public transport,Ban
SVK,Healthcare establishments,Ban
SVK,Government offices,Ban
SVK,Educational buildings,Ban
SVN,Workplaces,Ban
SVN,Healthcare establishments,Ban
SVN,Sporting events,Ban
SVN,Places of worship,No restrictions
SVN,Public transport,No restrictions
SVN,Educational buildings,Ban
SVN,Parks and streets,No restrictions
SVN,Leisure events,No restrictions
SVN,Government offices,No restrictions
SWE,Healthcare establishments,No restrictions
SWE,Places of worship,Voluntary/self-restricted
SWE,Leisure events,Voluntary/self-restricted
SWE,Government offices,Voluntary/self-restricted
SWE,Educational buildings,Voluntary/self-restricted
SWE,Sporting events,Partial restriction
SWE,Public transport,Partial restriction
SWE,Parks and streets,Partial restriction
SWE,Workplaces,Voluntary/self-restricted
SWZ,Workplaces,Partial restriction
SWZ,Educational buildings,Voluntary/self-restricted
SWZ,Government offices,Partial restriction
SWZ,Leisure events,No restrictions
SWZ,Parks and streets,No restrictions
SWZ,Public transport,No restrictions
SWZ,Places of worship,No restrictions
SWZ,Sporting events,No restrictions
SWZ,Healthcare establishments,Partial restriction
SYC,Public transport,Ban
SYC,Educational buildings,Ban
SYC,Leisure events,Voluntary/self-restricted
SYC,Parks and streets,Partial restriction
SYC,Sporting events,Ban
SYC,Workplaces,Ban
SYC,Places of worship,Ban
SYC,Healthcare establishments,Ban
SYC,Government offices,Ban
SYR,Sporting events,Ban
SYR,Places of worship,Ban
SYR,Leisure events,Partial restriction
SYR,Educational buildings,Ban
SYR,Government offices,Ban
SYR,Healthcare establishments,Ban
SYR,Workplaces,Ban
SYR,Parks and streets,Ban
SYR,Public transport,Ban
TCD,Workplaces,Ban
TCD,Public transport,Ban
TCD,Healthcare establishments,Ban
TCD,Educational buildings,Ban
TCD,Government offices,Ban
TCD,Places of worship,Partial restriction
TCD,Sporting events,Partial restriction
TCD,Parks and streets,No restrictions
TCD,Leisure events,No restrictions
TGO,Leisure events,No restrictions
TGO,Government offices,No restrictions
TGO,Healthcare establishments,No restrictions
TGO,Parks and streets,No restrictions
TGO,Educational buildings,No restrictions
TGO,Places of worship,No restrictions
TGO,Sporting events,No restrictions
TGO,Workplaces,Partial restriction
TGO,Public transport,No restrictions
THA,Public transport,Ban
THA,Educational buildings,Partial restriction
THA,Sporting events,No restrictions
THA,Workplaces,Partial restriction
THA,Places of worship,Partial restriction
THA,Parks and streets,Partial restriction
THA,Healthcare establishments,Partial restriction
THA,Government offices,Partial restriction
THA,Leisure events,No restrictions
TJK,Parks and streets,Partial restriction
TJK,Healthcare establishments,Ban
TJK,Sporting events,Ban
TJK,Leisure events,Partial restriction
TJK,Educational buildings,Ban
TJK,Government offices,Ban
TJK,Public transport,Ban
TJK,Places of worship,Ban
TJK,Workplaces,Ban
TKM,Workplaces,Ban
TKM,Sporting events,Ban
TKM,Government offices,Ban
TKM,Healthcare establishments,Ban
TKM,Leisure events,Ban
TKM,Parks and streets,Ban
TKM,Public transport,Ban
TKM,Places of worship,Ban
TKM,Educational buildings,Ban
TLS,Government offices,Ban
TLS,Educational buildings,Ban
TLS,Public transport,Ban
TLS,Workplaces,Partial restriction
TLS,Sporting events,Partial restriction
TLS,Places of worship,Partial restriction
TLS,Parks and streets,Partial restriction
TLS,Leisure events,Partial restriction
TLS,Healthcare establishments,Ban
TON,Educational buildings,No data
TON,Parks and streets,No data
TON,Sporting events,No data
TON,Places of worship,No data
TON,Public transport,No data
TON,Leisure events,No data
TON,Healthcare establishments,No data
TON,Government offices,No data
TON,Workplaces,No data
TTO,Places of worship,Voluntary/self-restricted
TTO,Sporting events,Voluntary/self-restricted
TTO,Workplaces,Voluntary/self-restricted
TTO,Educational buildings,Partial restriction
TTO,Leisure events,Voluntary/self-restricted
TTO,Healthcare establishments,Voluntary/self-restricted
TTO,Government offices,Voluntary/self-restricted
TTO,Parks and streets,No restrictions
TTO,Public transport,Voluntary/self-restricted
TUN,Workplaces,No data
TUN,Sporting events,No data
TUN,Places of worship,No data
TUN,Public transport,No data
TUN,Parks and streets,No data
TUN,Healthcare establishments,No data
TUN,Leisure events,No data
TUN,Educational buildings,No data
TUN,Government offices,No data
TUR,Healthcare establishments,Ban
TUR,Public transport,Ban
TUR,Places of worship,Ban
TUR,Government offices,Ban
TUR,Leisure events,Ban
TUR,Sporting events,Ban
TUR,Parks and streets,No restrictions
TUR,Educational buildings,Ban
TUR,Workplaces,Ban
TUV,Sporting events,No data
TUV,Educational buildings,No data
TUV,Government offices,No data
TUV,Healthcare establishments,No data
TUV,Leisure events,No data
TUV,Public transport,No data
TUV,Places of worship,No data
TUV,Workplaces,No data
TUV,Parks and streets,No data
TZA,Parks and streets,No restrictions
TZA,Government offices,Ban
TZA,Educational buildings,Ban
TZA,Healthcare establishments,Ban
TZA,Public transport,Ban
TZA,Sporting events,No restrictions
TZA,Leisure events,No restrictions
TZA,Workplaces,Ban
TZA,Places of worship,Ban
UGA,Sporting events,No restrictions
UGA,Leisure events,No restrictions
UGA,Government offices,Ban
UGA,Healthcare establishments,Ban
UGA,Educational buildings,Ban
UGA,Places of worship,Voluntary/self-restricted
UGA,Public transport,Voluntary/self-restricted
UGA,Parks and streets,Voluntary/self-restricted
UGA,Workplaces,Voluntary/self-restricted
UKR,Places of worship,No restrictions
UKR,Sporting events,Partial restriction
UKR,Leisure events,Partial restriction
UKR,Healthcare establishments,Partial restriction
UKR,Educational buildings,Ban
UKR,Government offices,Ban
UKR,Public transport,Ban
UKR,Workplaces,Ban
UKR,Parks and streets,Ban
URY,Parks and streets,Voluntary/self-restricted
URY,Public transport,Voluntary/self-restricted
URY,Leisure events,No restrictions
URY,Places of worship,No restrictions
URY,Educational buildings,Ban
URY,Government offices,Ban
URY,Sporting events,Ban
URY,Workplaces,Ban
URY,Healthcare establishments,Ban
USA,Parks and streets,No data
USA,Educational buildings,No data
USA,Government offices,No data
USA,Healthcare establishments,No data
USA,Leisure events,No data
USA,Public transport,No data
USA,Places of worship,No data
USA,Sporting events,No data
USA,Workplaces,No data
UZB,Educational buildings,Ban
UZB,Government offices,Ban
UZB,Healthcare establishments,Ban
UZB,Leisure events,Ban
UZB,Workplaces,Ban
UZB,Public transport,Ban
UZB,Places of worship,Ban
UZB,Sporting events,Ban
UZB,Parks and streets,Ban
VCT,Educational buildings,Voluntary/self-restricted
VCT,Workplaces,Voluntary/self-restricted
VCT,Healthcare establishments,Voluntary/self-restricted
VCT,Places of worship,Voluntary/self-restricted
VCT,Leisure events,No restrictions
VCT,Parks and streets,No restrictions
VCT,Public transport,No restrictions
VCT,Sporting events,No restrictions
VCT,Government offices,Voluntary/self-restricted
VEN,Leisure events,No data
VEN,Healthcare establishments,No data
VEN,Government offices,No data
VEN,Educational buildings,No data
VEN,Sporting events,No data
VEN,Workplaces,No data
VEN,Parks and streets,No data
VEN,Public transport,Ban
VEN,Places of worship,No data
VNM,Public transport,No restrictions
VNM,Educational buildings,Ban
VNM,Government offices,Ban
VNM,Healthcare establishments,Ban
VNM,Workplaces,Ban
VNM,Places of worship,No restrictions
VNM,Sporting events,No restrictions
VNM,Parks and streets,No restrictions
VNM,Leisure events,No restrictions
VUT,Sporting events,Partial restriction
VUT,Government offices,Ban
VUT,Healthcare establishments,Ban
VUT,Public transport,Ban
VUT,Parks and streets,Partial restriction
VUT,Leisure events,Partial restriction
VUT,Workplaces,No restrictions
VUT,Places of worship,No restrictions
VUT,Educational buildings,Ban
WSM,Public transport,Ban
WSM,Places of worship,Ban
WSM,Sporting events,Ban
WSM,Workplaces,Ban
WSM,Educational buildings,Ban
WSM,Government offices,Ban
WSM,Leisure events,Ban
WSM,Parks and streets,Ban
WSM,Healthcare establishments,Ban
YEM,Workplaces,Ban
YEM,Educational buildings,Ban
YEM,Government offices,Ban
YEM,Healthcare establishments,Ban
YEM,Leisure events,Ban
YEM,Parks and streets,Ban
YEM,Public transport,Ban
YEM,Places of worship,Ban
YEM,Sporting events,Ban
ZAF,Government offices,No restrictions
ZAF,Workplaces,No restrictions
ZAF,Sporting events,No restrictions
ZAF,Places of worship,No restrictions
ZAF,Public transport,No restrictions
ZAF,Parks and streets,No restrictions
