Category,AreaCode,BeverageType,Tax,Comments
Excise,LCA,Beer,2.39,
Excise,LCA,Spirits,17.26,
Excise,LKA,Beer,29.47,
Excise,LKA,Spirits,36.47,
Excise,LTU,Beer,16.67,
Excise,LTU,Spirits,52.06,
Excise,LVA,Beer,23.52,
Excise,LVA,Spirits,46.79,
Excise,MAR,Beer,31.63,
Excise,MAR,Spirits,39.71,
Excise,MDG,Beer,11.14,
Excise,MDG,Spirits,6.41,
Excise,MEX,Beer,18.06,
Excise,MEX,Spirits,29.86,
Excise,MHL,Beer,0,
Excise,MHL,Spirits,0,
Excise,MLI,Beer,13.73,
Excise,MMR,Beer,52.48,
Excise,MMR,Spirits,28.13,
Excise,MNG,Beer,0.25,
Excise,MNG,Spirits,11.34,
Excise,MOZ,Beer,21.37,
Excise,MOZ,Spirits,23.01,
Excise,MUS,Beer,28.8,
Excise,MUS,Spirits,62,
Excise,MWI,Beer,21.46,
Excise,MWI,Spirits,38.37,
Excise,NAM,Beer,12.42,
Excise,NAM,Spirits,31.62,
Excise,NER,Beer,10.61,
Excise,NER,Spirits,13.3,
Excise,NIC,Beer,21.85,
Excise,NIC,Spirits,25.08,
Excise,NLD,Beer,15.82,
Excise,NLD,Spirits,25.08,
Excise,NOR,Beer,40.06,
Excise,NOR,Spirits,68.51,
Excise,NRU,Beer,0,
Excise,NRU,Spirits,0,
Excise,PAN,Beer,7.24,
Excise,PAN,Spirits,9.88,
Excise,PER,Beer,23.43,
Excise,PER,Spirits,21.19,
Excise,PHL,Beer,29.93,
Excise,PHL,Spirits,51.21,
Excise,PLW,Beer,27.9,
Excise,PLW,Spirits,32.39,
Excise,PNG,Beer,28.43,
Excise,POL,Beer,17.74,
Excise,POL,Spirits,47.8,
Excise,PRT,Beer,10.71,
Excise,PRT,Spirits,29.2,
Excise,PRY,Beer,6.34,
Excise,PRY,Spirits,7.63,
Excise,ROU,Beer,4.39,
Excise,ROU,Spirits,25.19,
Excise,RWA,Beer,28.25,
Excise,RWA,Spirits,14.05,
Excise,SEN,Beer,24.93,
Excise,SEN,Spirits,58.09,
Excise,SLE,Beer,17.39,
Excise,SLE,Spirits,8.69,
Excise,SLV,Beer,21.13,
Excise,SLV,Spirits,28.34,
Excise,SSD,Beer,1.59,
Excise,SSD,Spirits,3.64,
Excise,STP,Spirits,31.18,
Excise,SUR,Beer,16.02,
Excise,SUR,Spirits,66.5,
Excise,SVK,Beer,5.07,
Excise,SVK,Spirits,30.27,
Excise,SVN,Beer,19.76,
Excise,SVN,Spirits,17.41,
Excise,SWE,Beer,38.51,
Excise,SWE,Spirits,66.8,
Excise,SWZ,Beer,5.91,
Excise,SWZ,Spirits,18.19,
Excise,SYC,Beer,21.54,
Excise,SYC,Spirits,31.68,
Excise,TGO,Beer,11.05,
Excise,TGO,Spirits,3.6,
Excise,THA,Beer,32.22,
Excise,THA,Spirits,34.16,
Excise,TON,Beer,27.58,
Excise,TON,Spirits,70,Retail price collected as of 31 January 2023.
Excise,TUN,Beer,28.8,
Excise,TUN,Spirits,12.35,
Excise,TUR,Beer,36.14,
Excise,TUR,Spirits,57.81,
Excise,TUV,Beer,13.2,
Excise,TZA,Beer,10.23,
Excise,TZA,Spirits,36.55,
Excise,UGA,Beer,17.3,
Excise,UGA,Spirits,32.21,
Excise,UKR,Beer,10.05,
Excise,UKR,Spirits,27.51,
Excise,URY,Beer,13.3,
Excise,URY,Spirits,22.53,
Excise,UZB,Beer,9.86,
Excise,UZB,Spirits,22.26,
Excise,VCT,Beer,4.57,
Excise,VCT,Spirits,10.96,
Excise,VEN,Beer,11.24,
Excise,VEN,Spirits,28.74,
Excise,VUT,Beer,19.25,
Excise,WSM,Beer,33.94,
Excise,ZAF,Beer,27.59,
Excise,ZAF,Spirits,46.51,
Excise,ZMB,Beer,21.55,
Excise,ZMB,Spirits,32.33,
Excise,ZWE,Beer,0,
Excise,ZWE,Spirits,13.04,
Import Duties,ALB,Beer,0,
Import Duties,ALB,Spirits,0,
Import Duties,ARG,Beer,0,
Import Duties,ARG,Spirits,0,
Import Duties,ATG,Beer,4.81,
Import Duties,ATG,Spirits,0,
Import Duties,AUS,Beer,0,
Import Duties,AUS,Spirits,0,
Import Duties,AUT,Beer,0,
Import Duties,AUT,Spirits,0,
Import Duties,AZE,Beer,0,
Import Duties,AZE,Spirits,0,
Import Duties,BDI,Beer,2.68,
Import Duties,BDI,Spirits,1.38,
Import Duties,BEL,Beer,0,
Import Duties,BEL,Spirits,0,
Import Duties,BEN,Beer,0,
Import Duties,BEN,Spirits,0.82,
Import Duties,BFA,Beer,0,
Import Duties,BFA,Spirits,2.52,
Import Duties,BGD,Beer,0,
Import Duties,BGD,Spirits,0,
Import Duties,BGR,Beer,0,
Import Duties,BGR,Spirits,0,
Import Duties,BLR,Beer,0,
Import Duties,BLR,Spirits,0,
Import Duties,BLZ,Beer,0,
Import Duties,BLZ,Spirits,0,
Import Duties,BOL,Beer,0,Retail price and tax data collected as of 31 March 2023.
Import Duties,BOL,Spirits,0,Retail price and tax data collected as of 31 March 2023.
Import Duties,BRA,Beer,0,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.
Import Duties,BRA,Spirits,0,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.
Import Duties,CAF,Beer,7.55,
Import Duties,CAF,Spirits,14.34,
Import Duties,CAN,Beer,0,Retail price and tax data representing only the Province of Ontario.
Import Duties,CAN,Spirits,0,Retail price and tax data representing only the Province of Ontario.
Import Duties,CHE,Beer,0,
Import Duties,CHE,Spirits,0,
Import Duties,CHL,Spirits,0,
Import Duties,CHN,Beer,0,
Import Duties,CHN,Spirits,0,
Import Duties,CIV,Beer,0,
Import Duties,CIV,Spirits,0,
Import Duties,CMR,Beer,0,
Import Duties,CMR,Spirits,0,
Import Duties,COD,Beer,0,
Import Duties,COD,Spirits,0.7,
Import Duties,COG,Beer,0,
Import Duties,COG,Spirits,0,
Import Duties,COK,Beer,0,
Import Duties,COK,Spirits,0,
Import Duties,COL,Beer,0,
Import Duties,COL,Spirits,0,
Import Duties,CPV,Beer,7.72,
Import Duties,CPV,Spirits,7.06,
Import Duties,CRI,Beer,0,
Import Duties,CRI,Spirits,0,
Import Duties,CUB,Beer,0,
Import Duties,CUB,Spirits,0,
Import Duties,CYP,Beer,0,
Import Duties,CYP,Spirits,0,
Import Duties,CZE,Beer,0,
Import Duties,CZE,Spirits,0,
Import Duties,DEU,Beer,0,
Import Duties,DEU,Spirits,0,
Import Duties,DMA,Beer,0,
Import Duties,DMA,Spirits,0,
Import Duties,DNK,Beer,0,
Import Duties,DNK,Spirits,0,
Import Duties,DOM,Beer,0,
Import Duties,DOM,Spirits,0,
Import Duties,ECU,Beer,0,
Import Duties,ECU,Spirits,0,
Import Duties,EGY,Beer,0,
Import Duties,EGY,Spirits,0,
Import Duties,ERI,Beer,0,
Import Duties,ERI,Spirits,0,
Import Duties,ESP,Beer,0,
Import Duties,ESP,Spirits,0,
Import Duties,EST,Beer,0,
Import Duties,EST,Spirits,0,
Import Duties,ETH,Beer,0,
Import Duties,ETH,Spirits,0,
Import Duties,FIN,Beer,0,
Import Duties,FIN,Spirits,0,
Import Duties,FJI,Beer,0,
Import Duties,FJI,Spirits,0,
Import Duties,GAB,Beer,0,
Import Duties,GAB,Spirits,0,
Import Duties,GBR,Beer,0,
Import Duties,GBR,Spirits,0,
Import Duties,GEO,Beer,0,
Import Duties,GEO,Spirits,5.3,
Import Duties,GHA,Beer,0,Retail price and tax data collected as of 31 January 2023.
Import Duties,GHA,Spirits,6.09,Retail price and tax data collected as of 31 January 2023.
Import Duties,GIN,Beer,0,
Import Duties,GMB,Beer,0,
Import Duties,GMB,Spirits,0,
Import Duties,GNB,Beer,5.5,
Import Duties,GNB,Spirits,4.19,
Import Duties,GNQ,Beer,9.54,
Import Duties,GRC,Beer,0,
Import Duties,GRC,Spirits,0,
Import Duties,GRD,Beer,0,
Import Duties,GRD,Spirits,0,
Import Duties,GTM,Beer,0,
Import Duties,GTM,Spirits,0,
Import Duties,GUY,Beer,0,
Import Duties,GUY,Spirits,0,
Import Duties,HND,Beer,0,
Import Duties,HND,Spirits,0,
