AreaCode,BeverageType,Comments,Currency,InCurrency,InPPP,InUSD
GAB,Spirits,,CFA Franc BEAC,2250.00,6.39,3.50
GBR,Beer,,Pound Sterling,0.92,1.36,1.12
GBR,Spirits,,Pound Sterling,17.14,25.43,20.88
GEO,Beer,,Lari,2.07,2.07,0.75
GEO,Spirits,,Lari,23.96,23.98,8.66
GHA,Beer,Retail price and tax data collected as of 31 January 2023.,Ghana Cedi,5.00,1.85,0.69
GHA,Spirits,Retail price and tax data collected as of 31 January 2023.,Ghana Cedi,253.12,93.47,35.01
GIN,Beer,,Guinean Franc,7000.00,1.66,0.81
GMB,Beer,,Dalasi,120.00,6.80,2.22
GMB,Spirits,,Dalasi,2775.00,157.21,51.32
GNB,Beer,,CFA Franc BCEAO,660.00,3.54,1.03
GNB,Spirits,,CFA Franc BCEAO,25 000.00,134.27,38.87
GNQ,Beer,,CFA Franc BEAC,495.00,1.47,0.77
GRC,Beer,,Euro,0.98,1.81,1.00
GRC,Spirits,,Euro,20.19,37.24,20.59
GRD,Beer,,East Caribbean Dollar,4.80,3.13,1.78
GRD,Spirits,,East Caribbean Dollar,27.10,17.67,10.04
GTM,Beer,,Quetzal,4.71,1.21,0.61
GTM,Spirits,,Quetzal,45.00,11.59,5.82
GUY,Beer,,Guyana Dollar,360.00,3.93,1.73
GUY,Spirits,,Guyana Dollar,1400.00,15.28,6.71
HND,Beer,,Lempira,23.24,2.11,0.95
HND,Spirits,,Lempira,220.00,19.95,8.99
HRV,Beer,,Kuna,7.39,2.25,1.00
HRV,Spirits,,Kuna,62.24,18.94,8.45
HTI,Beer,Retail price and tax data collected as of 31 March 2023.,Gourde,125.53,2.25,1.09
HTI,Spirits,Retail price and tax data collected as of 31 March 2023.,Gourde,2 008.93,36.04,17.45
HUN,Beer,,Forint,198.66,1.29,0.50
HUN,Spirits,,Forint,3 534.64,23.02,8.94
IDN,Beer,,Rupiah,22 354.84,4.74,1.49
IDN,Spirits,,Rupiah,150 000.00,31.78,10.03
IRL,Beer,,Euro,1.25,1.69,1.27
IRL,Spirits,,Euro,24.64,33.39,25.13
IRQ,Beer,,Iraqi Dinar,5000.00,6.39,3.45
IRQ,Spirits,,Iraqi Dinar,7500.00,9.59,5.17
ISL,Beer,,Iceland Krona,303.00,2.05,2.23
ISL,Spirits,,Iceland Krona,6471.00,43.71,47.72
ITA,Beer,,Euro,0.93,1.48,0.94
ITA,Spirits,,Euro,9.63,15.41,9.82
JAM,Beer,,Jamaican Dollar,338.71,4.24,2.21
JAM,Spirits,,Jamaican Dollar,2631.00,32.97,17.19
JPN,Beer,,Yen,206.49,2.28,1.55
JPN,Spirits,,Yen,1 851.43,20.48,13.92
KAZ,Beer,,Tenge,315.33,1.83,0.66
KAZ,Spirits,,Tenge,3 589.29,20.86,7.52
KEN,Beer,,Kenyan Shilling,198.00,4.60,1.67
KEN,Spirits,,Kenyan Shilling,1300.00,30.23,10.94
KGZ,Beer,,Som,49.50,2.28,0.60
KGZ,Spirits,,Som,468.75,21.56,5.64
KHM,Beer,,Riel,2500.00,1.88,0.61
KIR,Beer,,Australian Dollar,3.50,3.21,2.45
KIR,Spirits,,Australian Dollar,16.07,14.73,11.26
KOR,Beer,,Won,1848.00,2.32,1.42
KOR,Spirits,,Won,4 062.50,5.10,3.12
LBN,Beer,,Lebanese Pound,31 000.00,,
LBN,Spirits,,Lebanese Pound,52 000.00,,
LBR,Beer,,Liberian Dollar,176.00,2.62,1.15
LBR,Spirits,,Liberian Dollar,340.91,5.07,2.24
LCA,Beer,,East Caribbean Dollar,5.10,2.88,1.89
LCA,Spirits,,East Caribbean Dollar,36.50,20.62,13.52
LKA,Beer,,Sri Lanka Rupee,340.00,4.54,0.94
LKA,Spirits,,Sri Lanka Rupee,2880.00,38.49,7.98
LTU,Beer,,Euro,0.81,1.63,0.82
LTU,Spirits,,Euro,12.47,25.28,12.71
LVA,Beer,,Euro,0.58,1.08,0.59
LVA,Spirits,,Euro,10.50,19.70,10.71
MAR,Beer,,Moroccan Dirham,12.00,3.14,1.17
MAR,Spirits,,Moroccan Dirham,127.50,33.37,12.39
MDG,Beer,,Malagasy Ariary,1 776.92,1.48,0.43
MDG,Spirits,,Malagasy Ariary,9 090.91,7.58,2.22
MEX,Beer,,Mexican Peso,15.19,1.54,0.74
MEX,Spirits,,Mexican Peso,65.04,6.58,3.17
MHL,Beer,,US Dollar,4.18,3.78,4.18
MHL,Spirits,,US Dollar,15.00,13.56,15.00
MLI,Beer,,CFA Franc BCEAO,700.00,3.44,1.09
MMR,Beer,,Kyat,1005.00,2.23,0.54
MMR,Spirits,,Kyat,3200.00,7.08,1.73
MNG,Beer,,Tugrik,2 346.67,2.20,0.74
MNG,Spirits,,Tugrik,17 550.00,16.48,5.54
MOZ,Beer,,Mozambique Metical,49.50,2.07,0.78
MOZ,Spirits,,Mozambique Metical,489.00,20.45,7.66
MUS,Beer,,Mauritius Rupee,55.00,3.38,1.22
MUS,Spirits,,Mauritius Rupee,294.64,18.13,6.53
MWI,Beer,,Malawi Kwacha,770.00,2.42,0.74
MWI,Spirits,,Malawi Kwacha,2500.00,7.86,2.41
NAM,Beer,,Namibia Dollar,12.90,1.80,0.78
NAM,Spirits,,Namibia Dollar,250.00,34.84,15.19
NER,Beer,,CFA Franc BCEAO,650.00,2.69,1.01
NER,Spirits,,CFA Franc BCEAO,9000.00,37.30,13.99
NIC,Beer,,Cordoba Oro,35.32,2.96,0.98
NIC,Spirits,,Cordoba Oro,335.00,28.10,9.32
NLD,Beer,,Euro,0.79,1.04,0.81
NLD,Spirits,,Euro,18.91,24.75,19.29
NOR,Beer,,Norwegian Krone,17.75,1.56,1.83
NOR,Spirits,,Norwegian Krone,359.93,31.63,37.14
NRU,Beer,,Australian Dollar,3.30,2.60,2.31
NRU,Spirits,,Australian Dollar,34.29,27.00,24.02
PAN,Beer,,Balboa,0.70,1.57,0.70
PAN,Spirits,,Balboa,11.95,26.85,11.95
PER,Beer,,Sol,3.25,1.77,0.83
PER,Spirits,,Sol,52.90,28.84,13.49
PHL,Beer,,Philippine Peso,43.00,2.29,0.77
PHL,Spirits,,Philippine Peso,92.83,4.94,1.67
PLW,Beer,,US Dollar,1.20,1.25,1.20
PLW,Spirits,,US Dollar,23.49,24.52,23.49
PNG,Beer,,Kina,7.00,2.52,1.99
POL,Beer,,Zloty,2.11,1.09,0.45
POL,Spirits,,Zloty,43.32,22.42,9.34
PRT,Beer,,Euro,0.65,1.16,0.66
PRT,Spirits,,Euro,14.39,25.70,14.68
PRY,Beer,,Guarani,2 592.86,0.96,0.38
PRY,Spirits,,Guarani,15 500.00,5.74,2.26
ROU,Beer,,Romanian Leu,3.19,1.66,0.66
ROU,Spirits,,Romanian Leu,45.00,23.43,9.30
RWA,Beer,,Rwanda Franc,700.00,2.08,0.68
RWA,Spirits,,Rwanda Franc,6 428.57,19.07,6.25
