Cause,AreaCode,Sex,Deaths,LitresPerCapita,Population
PercentLiverCirrhosis,CPV,Male,60.25,10.01,186.087
PercentLiverCirrhosis,KHM,Both,61.3,8.48,11318.757
PercentLiverCirrhosis,KHM,Female,48.84,3.43,5900.521
PercentLiverCirrhosis,KHM,Male,70.55,13.8,5418.239
PercentLiverCirrhosis,CMR,Both,66.66,10.1,14603.842
PercentLiverCirrhosis,CMR,Female,53.15,4.14,7374.331
PercentLiverCirrhosis,CMR,Male,74.18,16.18,7229.511
PercentLiverCirrhosis,CAN,Both,67.3,9.9,31743.916999999998
PercentLiverCirrhosis,CAN,Female,57.05,4.34,16062.712
PercentLiverCirrhosis,CAN,Male,72.72,15.59,15681.204
PercentLiverCirrhosis,CAF,Both,28.25,1.99,2520.804
PercentLiverCirrhosis,CAF,Female,26.4,0.79,1331.358
PercentLiverCirrhosis,CAF,Male,29.23,3.2,1189.449
PercentLiverCirrhosis,TCD,Both,43.09,3.73,8655.945
PercentLiverCirrhosis,TCD,Female,26.63,1.2,4358.13
PercentLiverCirrhosis,TCD,Male,51.98,6.3,4297.819
PercentLiverCirrhosis,CHL,Both,59.09,6.75,15607.204
PercentLiverCirrhosis,CHL,Female,49.1,3.09,7888.219
PercentLiverCirrhosis,CHL,Male,62.25,10.51,7718.982
PercentLiverCirrhosis,CHN,Both,44.61,5.73,1164475.504
PercentLiverCirrhosis,CHN,Female,34.99,2.28,576088.603
PercentLiverCirrhosis,CHN,Male,48.19,9.09,588386.903
PercentLiverCirrhosis,COL,Both,42.82,4.92,38866.97
PercentLiverCirrhosis,COL,Female,32.1,1.91,19840.13
PercentLiverCirrhosis,COL,Male,50.42,8.06,19026.838
PercentLiverCirrhosis,COM,Both,7.29,0.25,483.249
PercentLiverCirrhosis,COM,Female,2.9,0.057,242.202
PercentLiverCirrhosis,COM,Male,9.94,0.45,241.044
PercentLiverCirrhosis,COG,Both,54.21,6.4,3260.915
PercentLiverCirrhosis,COG,Female,43.75,2.72,1639.498
